Term.DOY	YrPd	MeanDM	DMsd	DMse	n
117	2008 P1	380.0	81.07	28.66	8
137	2008 P1	674.3	88.42	31.26	8
128	2008 P1	590.0	78.25	27.66	8
149	2008 P1	834.0	131.1	46.36	8
137	2008 P1	673.3	90.60	32.03	8
155	2008 P1	984.0	200.9	71.01	8
117	2008 P2	192.0	66.42	23.48	8
137	2008 P2	502.3	152.8	54.03	8
128	2008 P2	405.0	77.92	27.55	8
149	2008 P2	743.0	117.8	41.64	8
137	2008 P2	544.5	147.0	51.97	8
155	2008 P2	875.0	197.5	69.83	8
118	2009 P1	266.3	35.50	12.55	8
142	2009 P1	709.5	72.91	25.78	8
128	2009 P1	464.0	34.94	14.26	6
152	2009 P1	857.0	89.29	31.57	8
140	2009 P1	676.5	64.41	22.77	8
160	2009 P1	1038	218.4	77.23	8
118	2009 P2	102.0	27.96	9.885	8
142	2009 P2	402.8	168.7	59.66	8
128	2009 P2	258.0	142.1	50.25	8
152	2009 P2	581.0	116.4	41.17	8
140	2009 P2	463.3	36.46	12.89	8
160	2009 P2	832.5	79.41	28.08	8
# mean cover crop biomass with SD and SE for differing planting (P1, P2) and termination dates					
