## 2008 only rye biomass data,,,,,,,,
Plant,Term,Manag,WdCont,Rep,RyeDMDat,RyeDMg,Pdate,Tdate
P1,T1,C,SC,I,4/25,256,257,480
P1,T1,C,NC,I,4/25,366,257,480
P1,T2,C,SC,I,5/7,580,257,492
P1,T2,C,NC,I,5/7,482,257,492
P1,T3,C,SC,I,5/15,674,257,500
P1,T3,C,NC,I,5/15,630,257,500
P1,T1,O,SC,I,5/15,568,257,500
P1,T1,O,NC,I,5/15,582,257,500
P1,T2,O,SC,I,5/28,682,257,513
P1,T2,O,NC,I,5/28,782,257,513
P1,T3,O,SC,I,6/3,946,257,519
P1,T3,O,NC,I,6/3,836,257,519
P2,T1,C,SC,I,4/25,240,288,480
P2,T1,C,NC,I,4/25,264,288,480
P2,T2,C,SC,I,5/7,476,288,492
P2,T2,C,NC,I,5/7,258,288,492
P2,T3,C,SC,I,5/15,460,288,500
P2,T3,C,NC,I,5/15,340,288,500
P2,T1,O,SC,I,5/15,406,288,500
P2,T1,O,NC,I,5/15,238,288,500
P2,T2,O,SC,I,5/28,602,288,513
P2,T2,O,NC,I,5/28,716,288,513
P2,T3,O,SC,I,6/3,748,288,519
P2,T3,O,NC,I,6/3,734,288,519
P1,T1,C,SC,II,4/25,410,257,480
P1,T1,C,NC,II,4/25,414,257,480
P1,T2,C,SC,II,5/7,726,257,492
P1,T2,C,NC,II,5/7,590,257,492
P1,T3,C,SC,II,5/15,698,257,500
P1,T3,C,NC,II,5/15,828,257,500
P1,T1,O,SC,II,5/15,840,257,500
P1,T1,O,NC,II,5/15,708,257,500
P1,T2,O,SC,II,5/28,1050,257,513
P1,T2,O,NC,II,5/28,732,257,513
P1,T3,O,SC,II,6/3,950,257,519
P1,T3,O,NC,II,6/3,1246,257,519
P2,T1,C,SC,II,4/25,130,288,480
P2,T1,C,NC,II,4/25,138,288,480
P2,T2,C,SC,II,5/7,352,288,492
P2,T2,C,NC,II,5/7,470,288,492
P2,T3,C,SC,II,5/15,548,288,500
P2,T3,C,NC,II,5/15,394,288,500
P2,T1,O,SC,II,5/15,452,288,500
P2,T1,O,NC,II,5/15,650,288,500
P2,T2,O,SC,II,5/28,806,288,513
P2,T2,O,NC,II,5/28,620,288,513
P2,T3,O,SC,II,6/3,702,288,519
P2,T3,O,NC,II,6/3,832,288,519
P1,T1,C,SC,III,4/25,376,257,480
P1,T1,C,NC,III,4/25,274,257,480
P1,T2,C,SC,III,5/7,546,257,492
P1,T2,C,NC,III,5/7,542,257,492
P1,T3,C,SC,III,5/15,630,257,500
P1,T3,C,NC,III,5/15,598,257,500
P1,T1,O,SC,III,5/15,736,257,500
P1,T1,O,NC,III,5/15,680,257,500
P1,T2,O,SC,III,5/28,876,257,513
P1,T2,O,NC,III,5/28,878,257,513
P1,T3,O,SC,III,6/3,870,257,519
P1,T3,O,NC,III,6/3,1294,257,519
P2,T1,C,SC,III,4/25,104,288,480
P2,T1,C,NC,III,4/25,156,288,480
P2,T2,C,SC,III,5/7,396,288,492
P2,T2,C,NC,III,5/7,384,288,492
P2,T3,C,SC,III,5/15,636,288,500
P2,T3,C,NC,III,5/15,514,288,500
P2,T1,O,SC,III,5/15,400,288,500
P2,T1,O,NC,III,5/15,638,288,500
P2,T2,O,SC,III,5/28,900,288,513
P2,T2,O,NC,III,5/28,910,288,513
P2,T3,O,SC,III,6/3,1256,288,519
P2,T3,O,NC,III,6/3,1100,288,519
P1,T1,C,SC,IV,4/25,462,257,480
P1,T1,C,NC,IV,4/25,482,257,480
P1,T2,C,SC,IV,5/7,574,257,492
P1,T2,C,NC,IV,5/7,680,257,492
P1,T3,C,SC,IV,5/15,772,257,500
P1,T3,C,NC,IV,5/15,556,257,500
P1,T1,O,SC,IV,5/15,632,257,500
P1,T1,O,NC,IV,5/15,648,257,500
P1,T2,O,SC,IV,5/28,966,257,513
P1,T2,O,NC,IV,5/28,706,257,513
P1,T3,O,SC,IV,6/3,1026,257,519
P1,T3,O,NC,IV,6/3,704,257,519
P2,T1,C,SC,IV,4/25,266,288,480
P2,T1,C,NC,IV,4/25,238,288,480
P2,T2,C,SC,IV,5/7,496,288,492
P2,T2,C,NC,IV,5/7,408,288,492
P2,T3,C,SC,IV,5/15,734,288,500
P2,T3,C,NC,IV,5/15,730,288,500
P2,T1,O,SC,IV,5/15,568,288,500
P2,T1,O,NC,IV,5/15,666,288,500
P2,T2,O,SC,IV,5/28,706,288,513
P2,T2,O,NC,IV,5/28,684,288,513
P2,T3,O,SC,IV,6/3,846,288,519
P2,T3,O,NC,IV,6/3,782,288,519
