"YearPd","RyeDM","Jday"
"1","2008 P1",366,116
"2","2008 P1",256,116
"3","2008 P1",582,136
"4","2008 P1",568,136
"5","2008 P1",482,127
"6","2008 P1",580,127
"7","2008 P1",782,148
"8","2008 P1",682,148
"9","2008 P1",630,136
"10","2008 P1",674,136
"11","2008 P1",836,154
"12","2008 P1",946,154
"13","2008 P2",264,116
"14","2008 P2",240,116
"15","2008 P2",238,136
"16","2008 P2",406,136
"17","2008 P2",258,127
"18","2008 P2",476,127
"19","2008 P2",716,148
"20","2008 P2",602,148
"21","2008 P2",340,136
"22","2008 P2",460,136
"23","2008 P2",734,154
"24","2008 P2",748,154
"25","2008 P1",414,116
"26","2008 P1",410,116
"27","2008 P1",708,136
"28","2008 P1",840,136
"29","2008 P1",590,127
"30","2008 P1",726,127
"31","2008 P1",732,148
"32","2008 P1",1050,148
"33","2008 P1",828,136
"34","2008 P1",698,136
"35","2008 P1",1246,154
"36","2008 P1",950,154
"37","2008 P2",138,116
"38","2008 P2",130,116
"39","2008 P2",650,136
"40","2008 P2",452,136
"41","2008 P2",470,127
"42","2008 P2",352,127
"43","2008 P2",620,148
"44","2008 P2",806,148
"45","2008 P2",394,136
"46","2008 P2",548,136
"47","2008 P2",832,154
"48","2008 P2",702,154
"49","2008 P1",274,116
"50","2008 P1",376,116
"51","2008 P1",680,136
"52","2008 P1",736,136
"53","2008 P1",542,127
"54","2008 P1",546,127
"55","2008 P1",878,148
"56","2008 P1",876,148
"57","2008 P1",598,136
"58","2008 P1",630,136
"59","2008 P1",1294,154
"60","2008 P1",870,154
"61","2008 P2",156,116
"62","2008 P2",104,116
"63","2008 P2",638,136
"64","2008 P2",400,136
"65","2008 P2",384,127
"66","2008 P2",396,127
"67","2008 P2",910,148
"68","2008 P2",900,148
"69","2008 P2",514,136
"70","2008 P2",636,136
"71","2008 P2",1100,154
"72","2008 P2",1256,154
"73","2008 P1",482,116
"74","2008 P1",462,116
"75","2008 P1",648,136
"76","2008 P1",632,136
"77","2008 P1",680,127
"78","2008 P1",574,127
"79","2008 P1",706,148
"80","2008 P1",966,148
"81","2008 P1",556,136
"82","2008 P1",772,136
"83","2008 P1",704,154
"84","2008 P1",1026,154
"85","2008 P2",238,116
"86","2008 P2",266,116
"87","2008 P2",666,136
"88","2008 P2",568,136
"89","2008 P2",408,127
"90","2008 P2",496,127
"91","2008 P2",684,148
"92","2008 P2",706,148
"93","2008 P2",730,136
"94","2008 P2",734,136
"95","2008 P2",782,154
"96","2008 P2",846,154
"97","2009 P1",272,118
"98","2009 P1",304,118
"99","2009 P1",514,128
"100","2009 P1",464,128
"101","2009 P1",698,140
"102","2009 P1",694,140
"103","2009 P1",808,142
"104","2009 P1",596,142
"105","2009 P1",728,152
"106","2009 P1",856,152
"107","2009 P1",1036,160
"108","2009 P1",1030,160
"109","2009 P2",139,118
"110","2009 P2",117,118
"111","2009 P2",256,128
"112","2009 P2",270,128
"113","2009 P2",500,140
"114","2009 P2",498,140
"115","2009 P2",530,142
"116","2009 P2",500,142
"117","2009 P2",632,152
"118","2009 P2",602,152
"119","2009 P2",804,160
"120","2009 P2",770,160
"121","2009 P2",428,140
"122","2009 P2",810,160
"123","2009 P2",72,128
"124","2009 P2",380,152
"125","2009 P2",126,142
"126","2009 P2",150,142
"127","2009 P2",71,118
"128","2009 P2",416,140
"129","2009 P2",192,128
"130","2009 P2",90,118
"131","2009 P2",782,160
"132","2009 P2",554,152
"133","2009 P1",1204,160
"134","2009 P1",472,128
"135","2009 P1",678,142
"136","2009 P1",257,118
"137","2009 P1",920,152
"138","2009 P1",784,140
"139","2009 P1",1144,160
"140","2009 P1",676,140
"141","2009 P1",432,128
"142","2009 P1",926,152
"143","2009 P1",187,118
"144","2009 P1",678,142
"145","2009 P1",762,152
"146","2009 P1",286,118
"147","2009 P1",550,160
"148","2009 P1",556,140
"149","2009 P1",632,140
"150","2009 P1",1182,160
"151","2009 P1",NA,128
"152","2009 P1",740,142
"153","2009 P1",260,118
"154","2009 P1",896,152
"155","2009 P1",NA,128
"156","2009 P1",640,142
"157","2009 P2",738,160
"158","2009 P2",198,128
"159","2009 P2",720,152
"160","2009 P2",430,140
"161","2009 P2",860,160
"162","2009 P2",708,152
"163","2009 P2",474,142
"164","2009 P2",454,140
"165","2009 P2",100,118
"166","2009 P2",67,118
"167","2009 P2",426,142
"168","2009 P2",572,128
"169","2009 P2",458,152
"170","2009 P2",948,160
"171","2009 P2",256,128
"172","2009 P2",948,160
"173","2009 P2",456,142
"174","2009 P2",92,118
"175","2009 P2",560,142
"176","2009 P2",508,140
"177","2009 P2",140,118
"178","2009 P2",248,128
"179","2009 P2",472,140
"180","2009 P2",594,152
"181","2009 P1",690,140
"182","2009 P1",1208,160
"183","2009 P1",288,118
"184","2009 P1",276,118
"185","2009 P1",484,128
"186","2009 P1",772,142
"187","2009 P1",788,152
"188","2009 P1",952,160
"189","2009 P1",764,142
"190","2009 P1",980,152
"191","2009 P1",682,140
"192","2009 P1",418,128
