Plant,Tdate,WdCon,Rep,RyeDM,Pdate,Tdate
# planting date,term date,weed cont,replicate,biomass g m-2,planting DOY,Term DOY
# weed control = NC commented out here for simpler example,,,,,,
#P1,T1,NC,I,366,257,480
#P2,T1,NC,I,264,288,480
#P1,T3,NC,I,606,257,500
#P2,T3,NC,I,289,288,500
#P1,T2,NC,I,482,257,492
#P2,T2,NC,I,258,288,492
#P1,T4,NC,I,782,257,513
#P2,T4,NC,I,716,288,513
#P1,T5,NC,I,836,257,519
#P2,T5,NC,I,734,288,519
#P1,T1,NC,II,414,257,480
#P2,T1,NC,II,138,288,480
#P1,T3,NC,II,768,257,500
#P2,T3,NC,II,522,288,500
#P1,T2,NC,II,590,257,492
#P2,T2,NC,II,470,288,492
#P1,T4,NC,II,732,257,513
#P2,T4,NC,II,620,288,513
#P1,T5,NC,II,1246,257,519
#P2,T5,NC,II,832,288,519
#P1,T1,NC,III,274,257,480
#P2,T1,NC,III,156,288,480
#P1,T3,NC,III,639,257,500
#P2,T3,NC,III,576,288,500
#P1,T2,NC,III,542,257,492
#P2,T2,NC,III,384,288,492
#P1,T4,NC,III,878,257,513
#P2,T4,NC,III,910,288,513
#P1,T5,NC,III,1294,257,519
#P2,T5,NC,III,1100,288,519
#P1,T1,NC,IV,482,257,480
#P2,T1,NC,IV,238,288,480
#P1,T3,NC,IV,602,257,500
#P2,T3,NC,IV,698,288,500
#P1,T2,NC,IV,680,257,492
#P2,T2,NC,IV,408,288,492
#P1,T4,NC,IV,706,257,513
#P2,T4,NC,IV,684,288,513
#P1,T5,NC,IV,704,257,519
#P2,T5,NC,IV,782,288,519
P1,T1,SC,I,256,257,480
P2,T1,SC,I,240,288,480
P1,T3,SC,I,621,257,500
P2,T3,SC,I,433,288,500
P1,T2,SC,I,580,257,492
P2,T2,SC,I,476,288,492
P1,T4,SC,I,682,257,513
P2,T4,SC,I,602,288,513
P1,T5,SC,I,946,257,519
P2,T5,SC,I,748,288,519
P1,T1,SC,II,410,257,480
P2,T1,SC,II,130,288,480
P1,T3,SC,II,769,257,500
P2,T3,SC,II,500,288,500
P1,T2,SC,II,726,257,492
P2,T2,SC,II,352,288,492
P1,T4,SC,II,1050,257,513
P2,T4,SC,II,806,288,513
P1,T5,SC,II,950,257,519
P2,T5,SC,II,702,288,519
P1,T1,SC,III,376,257,480
P2,T1,SC,III,104,288,480
P1,T3,SC,III,683,257,500
P2,T3,SC,III,518,288,500
P1,T2,SC,III,546,257,492
P2,T2,SC,III,396,288,492
P1,T4,SC,III,876,257,513
P2,T4,SC,III,900,288,513
P1,T5,SC,III,870,257,519
P2,T5,SC,III,1256,288,519
P1,T1,SC,IV,462,257,480
P2,T1,SC,IV,266,288,480
P1,T3,SC,IV,702,257,500
P2,T3,SC,IV,651,288,500
P1,T2,SC,IV,574,257,492
P2,T2,SC,IV,496,288,492
P1,T4,SC,IV,966,257,513
P2,T4,SC,IV,706,288,513
P1,T5,SC,IV,1026,257,519
P2,T5,SC,IV,846,288,519
