Time,Place,Bib,Name,Sponsor,Category,Cat.Place
6:34:37,1,1,Jeff.Schalk,Trek.Mountain.Co-Op,OpenMen,1
6:39:41,2,2,Christian.Tanguy,teamcf.org,OpenMen,2
6:52:45,3,322,Nick.Waite,GT/Kenda/ProTested,OpenMen,3
6:53:40,4,321,Jeremiah.Bishop,Cannondale.Factory.Racing,OpenMen,4
6:53:52,5,5,Brandon.Draugelis,PAValley's.com,OpenMen,5
6:58:57,6,6,Christopher.Beck,Gary.Fisher.29er.Crew,OpenMen,6
7:17:16,7,264,John.Burns,Bikeman.com,OpenMen,7
7:25:37,8,7,Robert.Lichtenwalner,pavalleys.com,OpenMen,8
7:26:20,9,71,Nathan.O'Neill,On.the.rivet.LLC,OpenMen,9
7:29:10,10,313,Will.Baker,Touring.Gear.Bike.Shop,OpenMen,10
7:30:41,11,8,Justin.Pokrivka,ProBikes/Cohen.Associates,SSMen,1
7:33:40,12,13,Andy.Gorski,-,OpenMen,11
7:34:14,13,222,Ezra.Mullen,None,OpenMen,12
7:34:30,14,16,Brian.Lariviere,Bulldog/Cycle.Craft,OpenMen,13
7:34:56,15,12,Gerry.Pflug,Salsa/SPK/Pro.Bikes,SSMen,2
7:37:40,16,333,Zack.Morrey,Ice.House.Bikes,OpenMen,14
7:41:46,17,200,Bob.Goldman,Wissahickon,OpenMen,15
7:41:47,18,23,Matt.Ferrari,Freeze.Thaw.Cycles/Hubcap.Cycles,SSMen,3
7:41:48,19,332,Drew.Scharns,Boone.Bike.and.Touring,OpenMen,16
7:42:57,20,14,Ray.Adams,Visit.PA,OpenMen,17
7:44:39,21,217,Andrew.Carney,Big.Wheel.Racing,OpenMen,18
7:45:29,22,211,Bradley.Schmalzer,Team.Bikeman.com/XXC.Magazine/Kenda.USA,OpenMen,19
7:45:32,23,316,Rob.Spreng,Dirty.Harry's,OpenMen,20
7:45:38,24,3,Garth.Prosser.,Cannondale.Factory.Racing,OpenMen,21
7:49:25,25,126,Greg.Kuhn,Team.Fraser,OpenMen,22
7:50:21,26,215,Daniel.LaRocque,Tiger.Cycling.Foundation/Wampold.Racing,OpenMen,23
7:52:00,27,17,Michael.Simonson,Gary.Fisher/SRAM/Notubes,OpenMen,24
7:52:10,28,26,Thom.Parsons.,CyclingDirt.com,OpenMen,25
7:52:23,29,27,Evan.Ellicott.,Bike.Doctor,SSMen,4
7:54:17,30,251,Mark.Tressler,Rad.Racing,SSMen,5
7:57:17,31,32,Rich.Straub,Freeze.Thaw.Cycles/Bike.Flights.com,OpenMen,26
