Gtype	media-rep	sample	Loc	 RSXA.mm2	 TCA.mm2	 AA.mm2	 Cort.Cell.Num	 XVA.mm2	 Per.A	 CellSize.1	CellSize.2	CellSize.3	CellSize.4	 Comments
A	R1	1	L1	1.0016	0.8171	0.0963	2556	0.0423	11.7813	0.000228	0.000141	0.000129	0.000071	 
A	R1	2	L1	1.0198	0.7957	0.089	1884	0.0365	11.1839	0.000369	0.000405	0.000174	0.000099	 blur image
A	R2	1	L1	1.1094	0.8483	0.0502	2258	0.0533	5.9149	0.000192	0.000267	0.000208	0.000126	 
A	R2	2	L1	1.1455	0.8777	0.0605	3101	0.0544	6.8926	0.000177	0.000147	0.000152	0.000078	 
B	R1	1	L1	0.988	0.7946	0.099	2062	0.0288	12.4576	0.000248	0.000395	0.000198	0.000096	 
B	R1	2	L1	0.9343	0.7557	0.0781	2260	0.0293	10.3381	0.000127	0.000333	0.000177	0.000117	 
B	R2	1	L1	0.8122	0.6191	0.1254	1128	0.037	20.2588	0.000395	0.000632	0.000321	0.000125	 
B	R2	2	L1	0.8041	0.6134	0.1519	1295	0.0402	24.7693	0.000442	0.00044	0.000152	0.000131	 
B	R2	3	L1	0.8709	0.661	0.1412	1467	0.0397	21.3644	0.00031	0.000699	0.000173	0.00012	 
C	R1	1	L1	0.9829	0.7635	0.1659	1424	0.0483	21.7293	0.000992	0.000782	0.000264	0.000153	 mc
C	R1	2	L1	0.9811	0.7593	0.1945	1476	0.0433	25.6094	0.000521	0.000759	0.000232	0.000133	 
C	R1	3	L1	0.9899	0.7688	0.2255	1717	0.0446	29.3357	0.000417	0.000552	0.000157	0.000124	 
C	R2	1	L1	0.7892	0.592	0.0811	1167	0.0464	13.6938	0.000291	0.000333	0.000369	0.000133	 
C	R2	2	L1	0.7755	0.5814	0.0662	1036	0.0476	11.3904	0.000348	0.00032	0.000339	0.000192	 
C	R2	3	L1	0.7755	0.5803	0.096	1028	0.0496	16.5404	0.000444	0.000425	0.000294	0.000157	 miss one small lacunae
D	R1	1	L1	1.1163	0.8832	0.2045	1765	0.0578	23.1523	0.000599	0.000278	0.000191	0.000149	 
D	R1	2	L1	1.111	0.8774	0.2478	1258	0.0572	28.2414	0.000996	0.000209	0.000294	0.000199	 
D	R1	3	L1	1.1114	0.8797	0.1947	1815	0.0559	22.1347	0.000563	0.00038	0.000165	0.000145	 
D	R2	1	L1	1.1352	0.8632	0.2527	1658	0.0607	29.2777	0.000474	0.000815	0.000174	0.000149	 
D	R2	2	L1	1.1961	0.9335	0.2009	1844	0.0626	21.5169	0.001368	0.000404	0.000242	0.000149	 
D	R2	3	L1	1.1943	0.9344	0.1857	1831	0.065	19.8793	0.00057	0.000395	0.000212	0.000159	 
E	R1	1	L1	1.1354	0.9657	0.0805	2358	0.0332	8.3333	0.000401	0.000205	0.000239	0.000106	 
E	R1	2	L1	1.1382	0.9723	0.031	2098	0.0401	3.1931	0.00037	0.000327	0.000354	0.00011	 
E	R2	1	L1	1.0517	0.7919	0.1374	2552	0.0486	17.3474	0.000198	0.000295	0.000133	0.000078	 
E	R2	2	L1	0.988	0.7305	0.148	2128	0.0651	20.258	0.000771	0.000281	0.000137	0.000093	 
E	R2	3	L1	1.0447	0.7792	0.097	2286	0.0541	12.4496	0.000175	0.000383	0.000138	0.000103	 
F	R1	1	L1	1.1569	0.8816	0.2433	2127	0.0511	27.5968	0.000309	0.000843	0.000122	0.000097	 
F	R1	2	L1	1.2023	0.9285	0.2939	1915	0.0454	31.6583	0.0003	0.001623	0.000134	0.000124	 
F	R1	3	L1	1.2231	0.9468	0.2642	2768	0.0502	27.8989	0.000366	0.000556	0.000119	0.000065	 
F	R2	1	L1	0.9582	0.7414	0.2123	1502	0.0457	28.6336	0.000442	0.000758	0.000162	0.000129	 
F	R2	2	L1	0.9366	0.7216	0.2007	1218	0.0498	27.8116	0.001326	0.00089	0.000229	0.000189	 mc
F	R2	3	L1	0.9388	0.7265	0.2251	1463	0.0402	30.9877	0.000474	0.000801	0.000176	0.000124	 
G	R1	1	L1	0.8958	0.6678	0.1127	1896	0.0512	16.8779	0.000284	0.000212	0.000135	0.000093	 
G	R1	2	L1	0.8965	0.6832	0.1629	1380	0.0529	23.8446	0.00032	0.000722	0.000196	0.000159	 
G	R1	3	L1	0.908	0.6834	0.12	1242	0.0607	17.5533	0.000393	0.000676	0.000241	0.000206	 
G	R2	1	L1	0.9517	0.7682	0.148	1744	0.0324	19.2625	0.000378	0.0005	0.000233	0.000113	 
G	R2	2	L1	0.9668	0.7815	0.2073	1318	0.0414	26.5235	0.000933	0.000387	0.000214	0.000156	 
G	R2	3	L1	0.965	0.7768	0.1855	1568	0.0405	23.8763	0.000486	0.000577	0.000211	0.000154	 
H	R1	1	L1	0.7307	0.5332	0.0796	1645	0.042	14.9278	0.000239	0.000221	0.000132	0.000066	 
H	R1	2	L1	0.717	0.5311	0.0754	1895	0.0396	14.1933	0.000222	0.00012	0.000114	0.00006	 
H	R1	3	L1	0.7156	0.5217	0.1178	1181	0.0419	22.5787	0.00043	0.000392	0.00019	0.000099	 
I	R1	1	L1	1.2784	1.0174	0.376	1765	0.0574	36.9608	0.00081	0.000732	0.000171	0.000141	 
I	R1	2	L1	1.2563	1.0008	0.3692	1550	0.0564	36.8969	0.000483	0.001879	0.000205	0.000177	 
I	R1	3	L1	1.271	1.0178	0.4054	1272	0.0627	39.8291	0.001703	0.002143	0.000306	0.000226	 mc
I	R2	1	L1	0.9759	0.7316	0.099	1987	0.0393	13.5305	0.000316	0.000201	0.000139	0.0001	 blur image
I	R2	2	L1	0.9696	0.7248	0.1027	1593	0.0514	14.1677	0.000389	0.000306	0.000194	0.000143	 missing huge lacuna 
I	R2	3	L1	0.9959	0.7513	0.1179	1700	0.0476	15.6936	0.000294	0.000472	0.000177	0.000142	 missing one lacunae
J	R1	1	L1	1.2905	1.0175	0.2714	1749	0.0699	26.6714	0.000853	0.000424	0.000243	0.000157	 
J	R1	2	L1	1.3404	1.0576	0.1631	2569	0.0676	15.4243	0.000912	0.000237	0.0002	0.000115	 mc
J	R2	1	L1	1.2622	0.9238	0.0773	2600	0.0795	8.3685	0.000251	0.000162	0.000141	0.000108	 
J	R2	2	L1	1.2475	0.9045	0.0984	2023	0.0899	10.8803	0.000369	0.000302	0.000212	0.000151	 
J	R2	3	L1	1.246	0.9074	0.0871	2331	0.0888	9.5943	0.000293	0.00025	0.000147	0.000117	 
K	R1	1	L1	0.8178	0.6634	0.0649	1709	0.0302	9.7891	0.000278	0.000179	0.000175	0.000134	 
K	R1	2	L1	0.8223	0.6658	0.0626	1613	0.0329	9.3948	0.000305	0.000174	0.000186	0.000118	 
K	R1	3	L1	0.8124	0.6559	0.0758	1489	0.0401	11.5579	0.000343	0.000221	0.000237	0.000138	 
K	R2	1	L1	0.9869	0.7804	0.1328	2162	0.0433	17.0132	0.000381	0.000091	0.000109	0.00011	 
K	R2	2	L1	0.9452	0.7435	0.144	1821	0.0409	19.3608	0.000476	0.000157	0.000179	0.000107	 
K	R2	3	L1	0.9612	0.7563	0.1627	1272	0.0491	21.5141	0.000681	0.00045	0.000254	0.000199	 
L	R2	1	L1	0.6727	0.5099	0.1294	1330	0.017	25.3728	0.000436	0.000131	0.000115	0.000074	 very blur
L	R2	2	L1	0.6507	0.4956	0.1188	1543	0.0269	23.9732	0.000374	0.000128	0.000093	0.000064	 a little blur
A	r2	1	L2	1.2782	1.0334	0.1867	2415	0.0526	18.0717	0.000809	0.000367	0.000194	0.000124	 mc
A	r2	2	L2	1.2264	0.9928	0.2782	1714	0.0581	28.0237	0.001299	0.000379	0.000258	0.000168	 mc
A	r2	3	L2	1.2794	1.0421	0.2127	2664	0.0522	20.4068	0.000861	0.000266	0.000171	0.000101	 mc
A	r1	1	L2	1.0595	0.8363	0.2537	1436	0.0528	30.3327	0.00114	0.00086	0.000298	0.000193	 
A	r1	2	L2	1.1323	0.9016	0.2641	1705	0.0481	29.2902	0.000317	0.001104	0.000231	0.000159	 
A	r1	3	L2	1.1156	0.8887	0.2584	1662	0.0488	29.0721	0.001074	0.001167	0.000185	0.000155	 
B	r1	1	L2	1.0459	0.8275	0.0642	1521	0.0424	7.7609	0.000949	0.000303	0.000342	0.000209	 
B	r1	2	L2	1.0392	0.8062	0.0693	1200	0.0438	8.5897	0.00114	0.000619	0.000438	0.000271	 over select stele
B	r1	3	L2	0.0681	0.0545	0.0057	510	0.0024	10.3935	0.000061	0.000068	0.000047	0.000028	 
B	r2	1	L2	1.1342	0.9177	0.2975	1743	0.0343	32.4128	0.000742	0.000466	0.000211	0.000125	 
B	r2	2	L2	1.1215	0.9055	0.292	1542	0.0394	32.2434	0.00051	0.001231	0.00022	0.000169	 
B	r2	3	L2	1.1171	0.9028	0.2717	1536	0.0403	30.0964	0.000531	0.000914	0.000266	0.000162	 
C	r1	1	L2	1.3419	1.099	0.5084	1689	0.042	46.2616	0.000819	0.003664	0.00016	0.000169	 
C	r1	2	L2	1.3994	1.1449	0.4297	1835	0.0436	37.5271	0.001315	0.001319	0.000195	0.00015	 
C	r1	3	L2	1.4202	1.2294	0.4544	2303	0.0487	36.9623	0.000385	0.002195	0.000169	0.00014	 
C	r2	1	L2	1.2581	1.0181	0.2472	2198	0.0502	24.2776	0.000674	0.000289	0.000186	0.000136	 
C	r2	2	L2	1.286	1.0433	0.2399	1817	0.0562	22.9975	0.000772	0.000424	0.000282	0.00019	 
C	r2	3	L2	1.2255	0.9801	0.2623	1726	0.0467	26.7637	0.000616	0.000417	0.00024	0.000196	 
D	r1	1	L2	1.44	1.1365	0.4528	1720	0.0692	39.843	0.001214	0.002707	0.00026	0.000191	 
D	r1	2	L2	1.4229	1.1147	0.4002	2160	0.0637	35.8985	0.000412	0.001902	0.00014	0.000125	 dull blade
D	r1	3	L2	1.4251	1.1141	0.4196	2044	0.0653	37.6636	0.000953	0.002881	0.000158	0.000134	 
D	r2	1	L2	1.5155	1.2123	0.3407	2107	0.0724	28.1059	0.000781	0.000827	0.000213	0.000166	 
D	r2	2	L2	1.4927	1.194	0.3042	2602	0.0676	25.4771	0.000343	0.000934	0.00014	0.000139	 
D	r2	3	L2	1.4604	1.1595	0.2989	2056	0.0661	25.7827	0.001105	0.001279	0.000216	0.000176	 
E	r1	1	L2	1.0355	0.8429	0.1301	1952	0.0343	15.4327	0.000264	0.000469	0.000199	0.000132	 
E	r1	2	L2	1.0056	0.8058	0.0948	2340	0.034	11.7669	0.000214	0.000298	0.000131	0.000094	 
E	r1	3	L2	0.9195	0.7216	0.1047	2100	0.0344	14.5157	0.00025	0.000266	0.000117	0.00009	 
E	r2	1	L2	1.184	0.9224	0.2996	2099	0.0557	32.4855	0.000506	0.000652	0.000138	0.000108	 
E	r2	2	L2	1.1852	0.9241	0.286	2225	0.0667	30.9428	0.000404	0.000879	0.000136	0.000102	 
E	r2	3	L2	1.1978	0.9407	0.3251	1712	0.06	34.5568	0.000705	0.001186	0.000131	0.000148	 
F	r1	1	L2	1.31	1.0466	0.351	2389	0.0627	33.5335	0.00014	0.001542	0.000191	0.000111	 wried anatomy
F	r1	2	L2	1.29	0.9814	0.3546	1683	0.0664	36.137	0.001269	0.001693	0.000215	0.000151	 wried anatomy
F	r1	3	L2	1.3178	1.0356	0.3611	2132	0.0637	34.8639	0.000245	0.001631	0.000159	0.000117	 wried anatomy
F	r2	1	L2	1.2329	0.9958	0.38	1641	0.0514	38.1586	0.001087	0.002697	0.000188	0.000145	 
F	r2	2	L2	1.043	0.8054	0.3569	966	0.0617	44.3061	0.001428	0.002213	0.000383	0.000229	 
F	r2	3	L2	1.1759	0.939	0.3339	1695	0.0603	35.557	0.0015	0.000772	0.000225	0.000132	 
G	r1	1	L2	1.6089	1.371	0.3969	2217	0.0494	28.9472	0.001173	0.001082	0.000345	0.000203	 
G	r1	2	L2	1.6207	1.3847	0.3142	3331	0.0477	22.6904	0.000337	0.000531	0.00015	0.000134	 
G	r1	3	L2	1.6347	1.3882	0.3256	3224	0.0456	23.454	0.001018	0.000465	0.000171	0.000128	 
G	r2	1	L2	1.141	0.9387	0.2183	1900	0.0407	23.2577	0.00037	0.00068	0.000181	0.000172	 
G	r2	2	L2	1.1684	0.9657	0.2183	1909	0.0456	22.6041	0.000793	0.001097	0.000207	0.00016	 
G	r2	3	L2	1.1849	0.9771	0.2601	1632	0.0441	26.6231	0.001262	0.000601	0.000277	0.000187	 mc
H	r1	1	L2	1.1946	0.9477	0.0495	2348	0.0597	5.2209	0.000786	0.000254	0.000268	0.000115	 
H	r1	2	L2	1.2798	1.0285	0.014	2662	0.061	1.3595	0.000206	0.000221	0.00024	0.000126	 
H	r1	3	L2	1.2431	0.9835	0.0212	2852	0.0556	2.157	0.00019	0.000201	0.000227	0.000099	 
I	r1	1	L2	1.4319	1.1475	0.3334	2048	0.0644	29.053	0.000756	0.000639	0.000198	0.000156	 
I	r1	2	L2	1.4065	1.1315	0.3646	2140	0.0651	32.2195	0.000755	0.000816	0.000193	0.000126	 
I	r1	3	L2	1.4422	1.1639	0.3567	2015	0.071	30.645	0.000648	0.000853	0.000252	0.000149	 
I	r2	1	L2	1.3064	1.079	0.1911	2291	0.0407	17.7145	0.00046	0.000349	0.0002	0.000161	 
I	r2	2	L2	1.4302	1.1962	0.1837	2092	0.0525	15.3548	0.001165	0.000319	0.000326	0.000192	 mc
I	r2	3	L2	1.3811	1.1487	0.2813	1965	0.0546	24.4848	0.001309	0.000553	0.000251	0.00018	 mc
J	r1	1	L2	1.2394	0.9523	0.2198	1795	0.0758	23.0797	0.000355	0.000929	0.000232	0.000166	 
J	r1	2	L2	1.3301	1.035	0.2759	1940	0.0696	26.6581	0.000522	0.000786	0.000188	0.000162	 
J	r1	3	L2	1.2864	1.0091	0.1997	1945	0.0853	19.7881	0.001108	0.001006	0.0002	0.000161	 
J	r2	1	L2	1.3968	1.1078	0.2618	1647	0.0667	23.6295	0.000618	0.001264	0.000311	0.00019	 
J	r2	2	L2	1.3877	1.0995	0.2463	2273	0.0663	22.401	0.001083	0.000645	0.000192	0.000148	 
J	r2	3	L2	1.3959	1.0988	0.2384	2239	0.064	21.7012	0.001136	0.000631	0.000198	0.000129	 mc
K	r1	2	L2	0.9851	0.8058	0.1415	1408	0.0404	17.5594	0.000323	0.001009	0.000317	0.000194	 
K	r2	1	L2	1.2225	0.9727	0.274	2125	0.048	28.1741	0.000874	0.000963	0.000174	0.000136	 mc
K	r2	2	L2	1.2237	0.9681	0.2983	1651	0.0532	30.8088	0.001393	0.001194	0.000186	0.000174	 
L	r2	1	L2	0.9274	0.7299	0.2465	1150	0.0347	33.7683	0.001448	0.00107	0.000194	0.00018	 mc
L	r2	2	L2	0.9192	0.7244	0.2418	1205	0.0366	33.3847	0.000609	0.001148	0.000205	0.000161	 
L	r2	3	L2	0.9122	0.7054	0.2293	1152	0.0335	32.5101	0.000562	0.001069	0.00021	0.000147	 
