pot.vol	TSP	plants	rep	type	rt.len	rt.len.den	ShtDM	RtDM	R..S
#  Liter	kg per ha	xx	xx	xx	meters	meter per L	g	g	xx
4	210	1	A	a	255.29 	63.82 	0.7962	0.6483	0.8142
4	210	1	B	a	211.42 	52.85 	0.7790	0.7582	0.9733
4	210	1	C	a	265.91 	66.48 	0.9795	0.6995	0.7141
4	210	1	D	a	288.55 	72.14 	1.2228	0.9890	0.8088
4	420	1	A	b	486.60 	121.65 	2.7627	1.7510	0.6338
4	420	1	B	b	286.06 	71.52 	1.0743	0.6536	0.6084
4	420	1	C	b	442.83 	110.71 	2.5355	1.4880	0.5869
4	420	1	D	b	385.31 	96.33 	1.3590	0.8490	0.6247
4	420	2	A	c	503.14 	125.78 	2.5960	1.5802	0.6087
4	420	2	B	c	660.35 	165.09 	NA	NA	NA
4	420	2	C	c	418.67 	104.67 	2.4741	1.5523	0.6274
4	420	2	D	c	476.91 	119.23 	2.9850	1.7790	0.5960
8	105	1	A	d	146.18 	18.27 	0.6872	0.5229	0.7609
8	105	1	B	d	148.56 	18.57 	0.6004	0.5418	0.9024
8	105	1	C	d	167.25 	20.91 	0.8365	0.5874	0.7022
8	105	1	D	d	253.51 	31.69 	1.0662	0.7477	0.7013
8	210	1	A	e	295.62 	36.95 	1.2230	0.9755	0.7976
8	210	1	B	e	436.28 	54.54 	0.8157	0.6308	0.7733
8	210	1	C	e	521.66 	65.21 	1.4188	1.2314	0.8679
8	210	1	D	e	491.56 	61.44 	1.7503	1.1628	0.6643
8	210	2	A	f	322.09 	40.26 	0.9201	0.6280	0.6826
8	210	2	B	f	351.03 	43.88 	1.1719	0.8951	0.7638
8	210	2	C	f	331.49 	41.44 	1.2423	1.1476	0.9238
8	210	2	D	f	283.76 	35.47 	1.1719	0.9351	0.7980
12	70	1	A	g	265.60 	22.13 	1.0496	0.9286	0.8847
12	70	1	B	g	159.78 	13.31 	0.5130	0.4712	0.9185
12	70	1	C	g	212.81 	17.73 	0.7318	0.5258	0.7185
12	70	1	D	g	268.84 	22.40 	0.9976	0.8092	0.8111
12	140	1	A	h	351.90 	29.33 	1.3016	0.8667	0.6659
12	140	1	B	h	274.80 	22.90 	0.8099	0.6846	0.8453
12	140	1	C	h	325.41 	27.12 	1.2049	0.9395	0.7797
12	140	1	D	h	289.90 	24.16 	1.7439	1.3421	0.7696
12	140	2	A	i	257.21 	21.43 	1.0902	0.8915	0.8177
12	140	2	B	i	236.83 	19.74 	0.9190	0.6549	0.7126
12	140	2	C	i	335.34 	27.94 	1.5611	1.0591	0.6784
12	140	2	D	i	376.25 	31.35 	1.2456	1.0882	0.8736
