trt,dist,side,mean,stdev,count,sterr,CI95
L,0,down,7.864583333,0.294616687,12,0.085048512,0.166695083
L,1,down,7.536,0.42770083,12,0.123466595,0.241994526
L,2,down,7.180916667,0.443559048,12,0.128044468,0.250967157
L,3,down,6.56425,0.577511609,12,0.166713242,0.326757954
L,5,down,6.14775,0.777622031,12,0.224480144,0.439981083
L,10,down,5.306583333,1.005378848,12,0.290227874,0.568846634
L,25,down,4.315169426,1.26856767,28,0.239736755,0.46988404
L,40,down,3.561108996,0.559711085,16,0.139927771,0.274258432
L,0,up,7.798285714,0.482148785,14,0.128859683,0.252564979
L,1,up,7.209857143,0.410490674,14,0.109708247,0.215028165
L,2,up,6.854214286,0.518382422,14,0.13854353,0.271545318
L,3,up,6.377428571,0.697143812,14,0.186319521,0.365186261
L,5,up,5.862357143,1.110690056,14,0.296844404,0.581815031
L,10,up,5.089297843,0.874604606,13,0.242571673,0.47544048
L,25,up,4.270417526,0.915788444,28,0.173067748,0.339212787
L,40,up,3.778125,0.39216015,16,0.098040038,0.192158474
S,0,down,5.4492,0.450641321,15,0.116355089,0.228055974
S,1,down,4.789733333,0.534164296,15,0.137920628,0.270324431
S,2,down,4.560533333,0.646195555,15,0.166846975,0.327020071
S,3,down,4.286733333,0.415477774,15,0.1072759,0.210260764
S,5,down,3.797,0.30246729,14,0.080837784,0.158442056
S,10,down,3.690570846,0.453291474,15,0.117039355,0.229397137
S,25,down,3.691191374,0.471889181,13,0.130878511,0.256521881
S,0,up,5.423266667,0.634558279,15,0.163842243,0.321130797
S,1,up,4.615866667,0.596884515,15,0.154114919,0.302065241
S,2,up,4.112266667,0.465748011,15,0.120255619,0.235701014
S,3,up,4.0108125,0.685270576,16,0.171317644,0.335782582
S,5,up,3.7896,0.363709617,15,0.093909419,0.184062462
S,10,up,3.612296496,0.306661663,16,0.076665416,0.150264215
S,25,up,3.698858996,0.37330824,16,0.09332706,0.182921038
