pot.size	phos	P-lev	plants	rep	trt	rt.len	ShtDM	RtDM
#  Liter	kg per ha	factor	xx	xx	xx	meters	g	g
4	210	L	1	A	a	255.29	0.7962	0.6483
4	210	L	1	B	a	211.42	0.779	0.7582
4	210	L	1	C	a	265.91	0.9795	0.6995
4	210	L	1	D	a	288.55	1.2228	0.989
4	420	H	1	A	b	486.6	2.7627	1.751
4	420	H	1	B	b	286.06	1.0743	0.6536
4	420	H	1	C	b	442.83	2.5355	1.488
4	420	H	1	D	b	385.31	1.359	0.849
4	420	H	2	A	c	503.14	2.596	1.5802
4	420	H	2	B	c	660.35	NA	NA
4	420	H	2	C	c	418.67	2.4741	1.5523
4	420	H	2	D	c	476.91	2.985	1.779
8	105	L	1	A	d	146.18	0.6872	0.5229
8	105	L	1	B	d	148.56	0.6004	0.5418
8	105	L	1	C	d	167.25	0.8365	0.5874
8	105	L	1	D	d	253.51	1.0662	0.7477
8	210	H	1	A	e	295.62	1.223	0.9755
8	210	H	1	B	e	436.28	0.8157	0.6308
8	210	H	1	C	e	521.66	1.4188	1.2314
8	210	H	1	D	e	491.56	1.7503	1.1628
8	210	H	2	A	f	322.09	0.9201	0.628
8	210	H	2	B	f	351.03	1.1719	0.8951
8	210	H	2	C	f	331.49	1.2423	1.1476
8	210	H	2	D	f	283.76	1.1719	0.9351
12	70	L	1	A	g	265.6	1.0496	0.9286
12	70	L	1	B	g	159.78	0.513	0.4712
12	70	L	1	C	g	212.81	0.7318	0.5258
12	70	L	1	D	g	268.84	0.9976	0.8092
12	140	H	1	A	h	351.9	1.3016	0.8667
12	140	H	1	B	h	274.8	0.8099	0.6846
12	140	H	1	C	h	325.41	1.2049	0.9395
12	140	H	1	D	h	289.9	1.7439	1.3421
12	140	H	2	A	i	257.21	1.0902	0.8915
12	140	H	2	B	i	236.83	0.919	0.6549
12	140	H	2	C	i	335.34	1.5611	1.0591
12	140	H	2	D	i	376.25	1.2456	1.0882
